incident_id,date,incident_type,severity,data_exposed,system_downtime_hours,financial_impact,detection_time_hours,resolution_time_hours,affected_systems,patch_status,employee_awareness_score,third_party_involved,regulatory_compliance_violated,repeated_incident,risk_score
1,2024-07-22 22:11:10.467078,ddos,critical,9078,9,257803,103,317,6,up_to_date,9,True,True,False,23
2,2024-07-21 22:11:10.467091,insider_threat,critical,942507,20,691381,84,220,4,critical_missing,6,True,True,True,76
3,2024-07-20 22:11:10.467094,data_breach,critical,324912,35,316275,133,21,3,up_to_date,4,True,False,False,95
4,2024-07-19 22:11:10.467096,insider_threat,critical,575335,11,679447,107,179,9,up_to_date,7,True,True,True,100
5,2024-07-18 22:11:10.467099,insider_threat,critical,858058,1,12828,17,328,2,up_to_date,5,False,False,True,3
6,2024-07-17 22:11:10.467101,phishing,low,844092,12,979114,93,230,1,outdated,10,True,True,False,12
7,2024-07-16 22:11:10.467103,data_breach,critical,759746,52,883096,149,37,2,up_to_date,7,False,False,False,72
8,2024-07-15 22:11:10.467105,data_breach,low,967290,31,516835,32,69,7,critical_missing,8,False,True,False,56
9,2024-07-14 22:11:10.467107,data_breach,critical,395141,15,656761,157,115,1,critical_missing,8,False,True,True,97
10,2024-07-13 22:11:10.467109,insider_threat,high,215048,31,801625,125,238,6,outdated,1,True,False,True,36
11,2024-07-12 22:11:10.467111,ddos,medium,760581,31,223461,159,334,7,critical_missing,8,True,False,False,47
12,2024-07-11 22:11:10.467113,data_breach,low,642120,10,438080,121,147,9,critical_missing,6,True,True,False,70
13,2024-07-10 22:11:10.467115,insider_threat,critical,916838,9,413523,137,8,8,outdated,4,False,True,True,0
14,2024-07-09 22:11:10.467117,phishing,high,649438,14,364662,114,287,6,up_to_date,8,False,False,True,59
15,2024-07-08 22:11:10.467119,ddos,medium,157087,16,281755,163,49,3,outdated,3,False,False,False,11
16,2024-07-07 22:11:10.467121,phishing,low,33320,39,699151,161,4,8,up_to_date,4,False,True,True,20
17,2024-07-06 22:11:10.467123,ddos,medium,327025,17,929454,27,125,7,up_to_date,6,True,True,True,10
18,2024-07-05 22:11:10.467125,insider_threat,high,615115,54,338384,10,74,3,critical_missing,7,True,False,True,43
19,2024-07-04 22:11:10.467127,malware,low,513287,24,239719,166,164,9,outdated,4,True,False,True,57
20,2024-07-03 22:11:10.467129,ddos,medium,364359,58,732763,46,277,2,critical_missing,4,False,False,True,43
21,2024-07-02 22:11:10.467131,phishing,critical,943793,21,789177,126,323,3,critical_missing,7,False,False,True,77
22,2024-07-01 22:11:10.467133,insider_threat,low,259931,29,841675,146,299,2,up_to_date,6,True,False,False,97
23,2024-06-30 22:11:10.467135,ddos,medium,920893,43,266010,117,289,1,critical_missing,8,True,True,True,33
24,2024-06-29 22:11:10.467136,malware,high,943187,31,687605,142,76,4,outdated,1,False,True,False,24
25,2024-06-28 22:11:10.467139,malware,high,406845,50,437940,125,297,5,critical_missing,10,True,False,False,3
26,2024-06-27 22:11:10.467141,data_breach,low,847982,45,915113,155,136,6,critical_missing,7,True,True,True,63
27,2024-06-26 22:11:10.467143,data_breach,medium,549114,20,595642,151,105,5,up_to_date,7,False,True,False,89
28,2024-06-25 22:11:10.467145,phishing,low,100734,31,51374,71,94,1,outdated,7,False,False,False,15
29,2024-06-24 22:11:10.467147,ddos,low,157702,38,114397,106,134,3,critical_missing,7,False,True,False,9
30,2024-06-23 22:11:10.467149,ddos,medium,754122,11,248552,136,67,1,up_to_date,10,True,True,True,65
31,2024-06-22 22:11:10.467150,data_breach,medium,177235,46,386721,32,146,5,critical_missing,10,False,True,False,34
32,2024-06-21 22:11:10.467152,ddos,critical,98511,17,423332,18,158,5,outdated,8,True,False,True,82
33,2024-06-20 22:11:10.467154,ddos,medium,983939,20,867461,73,162,6,critical_missing,9,True,False,False,5
34,2024-06-19 22:11:10.467156,malware,high,273797,12,880006,167,188,8,critical_missing,9,False,True,False,18
35,2024-06-18 22:11:10.467158,data_breach,low,683321,20,937951,156,94,1,up_to_date,2,True,True,False,58
36,2024-06-17 22:11:10.467160,insider_threat,low,606229,7,292575,97,180,4,critical_missing,7,False,True,False,52
37,2024-06-16 22:11:10.467162,data_breach,high,729497,45,411124,140,287,1,up_to_date,7,False,True,True,7
38,2024-06-15 22:11:10.467164,insider_threat,medium,820094,6,29336,128,321,9,outdated,4,True,True,False,77
39,2024-06-14 22:11:10.467166,malware,high,98818,22,827424,161,186,7,critical_missing,9,True,True,False,9
40,2024-06-13 22:11:10.467168,phishing,high,973950,21,55350,92,137,7,outdated,8,False,False,True,66
41,2024-06-12 22:11:10.467170,ddos,critical,152360,21,593849,47,129,5,outdated,1,False,True,True,37
42,2024-06-11 22:11:10.467172,malware,high,777915,28,510470,63,193,7,critical_missing,2,False,True,True,28
43,2024-06-10 22:11:10.467174,ddos,low,619369,12,838387,60,315,2,up_to_date,2,False,False,False,14
44,2024-06-09 22:11:10.467176,phishing,high,561165,1,61240,156,272,4,outdated,8,False,True,True,86
45,2024-06-08 22:11:10.467178,phishing,low,373706,28,675453,38,143,7,outdated,1,False,True,True,22
46,2024-06-07 22:11:10.467180,malware,low,932817,51,399371,127,15,3,critical_missing,4,True,True,True,81
47,2024-06-06 22:11:10.467182,phishing,low,211957,26,570895,87,301,2,critical_missing,10,True,True,True,45
48,2024-06-05 22:11:10.467184,insider_threat,medium,72715,49,950991,25,244,2,critical_missing,5,True,False,True,82
49,2024-06-04 22:11:10.467185,phishing,critical,141398,22,711028,16,106,1,critical_missing,9,True,True,True,27
50,2024-06-03 22:11:10.467187,ddos,low,634379,43,938467,70,87,5,critical_missing,7,False,False,False,25
51,2024-06-02 22:11:10.467189,ddos,low,519052,21,181196,12,128,6,critical_missing,8,True,True,True,9
52,2024-06-01 22:11:10.467191,ddos,medium,132632,42,315014,68,3,6,up_to_date,9,True,True,False,46
53,2024-05-31 22:11:10.467193,ddos,low,865580,36,449763,25,326,9,outdated,7,False,False,True,3
54,2024-05-30 22:11:10.467195,insider_threat,high,83186,60,588398,48,305,4,up_to_date,5,True,True,True,54
55,2024-05-29 22:11:10.467197,data_breach,high,944249,55,184626,6,94,1,up_to_date,5,False,False,True,65
56,2024-05-28 22:11:10.467199,malware,critical,687250,2,676296,57,208,6,critical_missing,10,False,False,False,66
57,2024-05-27 22:11:10.467201,ddos,low,151094,62,379039,48,224,5,outdated,6,False,False,True,6
58,2024-05-26 22:11:10.467203,phishing,medium,910061,18,528714,102,320,6,up_to_date,5,False,True,True,54
59,2024-05-25 22:11:10.467205,ddos,high,970083,22,744199,52,46,3,critical_missing,9,False,True,True,79
60,2024-05-24 22:11:10.467207,phishing,medium,594604,28,814038,61,180,2,critical_missing,3,True,True,True,30
61,2024-05-23 22:11:10.467209,phishing,medium,28380,29,441048,16,105,6,outdated,3,True,True,False,73
62,2024-05-22 22:11:10.467211,ddos,high,634486,38,552439,24,198,1,up_to_date,7,True,False,False,18
63,2024-05-21 22:11:10.467213,insider_threat,medium,264500,24,996807,130,105,7,up_to_date,7,False,True,False,27
